Player,Club,Total Goals,Home Goals,Away Goals
Jamie Vardy,Leicester City,17,8,9
Sergio Aguero,Manchester City,16,8,8
P. Aubameyang,Arsenal,15,6,9
Danny Ings,Southampton,15,8,7
Marcus Rashford,Manchester Utd,14,10,4
Mohamed Salah,Liverpool,14,12,2
Tammy Abraham,Chelsea,13,5,8
Sadio Mané,Liverpool,12,7,5
Raúl Jiménez,Wolverhampton,11,5,6
Harry Kane,Tottenham,11,6,5
D. Calvert-Lewin,Everton,11,6,5
Raheem Sterling,Manchester City,11,2,9
Teemu Pukki,Norwich City,11,7,4
Chris Wood,Burnley,10,6,4
Son Heungmin,Tottenham,9,6,3
Anthony Martial,Manchester Utd,9,4,5
Richarlison,Everton,9,5,4
Kevin De Bruyne,Manchester City,9,6,3
Gabriel Jesus,Manchester City,9,3,6
Roberto Firmino,Liverpool,8,0,8
Dele Alli,Tottenham,7,5,2
Ayoze Perez,Leicester City,7,2,5
Jack Grealish,Aston Villa,7,3,4
Harry Wilson,Bournemouth,7,2,5
Callum Wilson,Bournemouth,7,4,3
Neal Maupay,Brighton,7,4,3
Riyad Mahrez,Manchester City,7,3,4
Alexandre Lacazette,Arsenal,6,6,0
James Maddison,Leicester City,6,3,3
Jordan Ayew,Crystal Palace,6,3,3
