Number,Place,Gender,Age,Province,Swim,T1,Cycle,T2,Run
1,11.0,M,19,Munster,518,64.0,2293.0,42.0,1446.0
2,129.0,M,25,Leinster,1102,124.0,2662.0,47.0,1723.0
3,35.0,M,25,Leinster,693,138.0,2472.0,42.0,1466.0
4,153.0,M,26,Munster,906,318.0,3002.0,62.0,1648.0
5,34.0,M,21,Connacht,566,131.0,2518.0,65.0,1522.0
6,131.0,M,25,Connacht,940,202.0,3083.0,63.0,1381.0
7,169.0,M,23,Leinster,1118,366.0,3114.0,127.0,1674.0
8,95.0,M,22,Leinster,1002,102.0,2449.0,59.0,1756.0
9,97.0,M,29,Ulster,735,213.0,2701.0,66.0,1655.0
10,150.0,M,29,Leinster,930,196.0,2976.0,66.0,1700.0
11,49.0,M,26,Leinster,827,222.0,2524.0,62.0,1369.0
12,44.0,M,27,Leinster,765,198.0,2428.0,96.0,1436.0
13,72.0,M,26,Leinster,729,175.0,2584.0,108.0,1570.0
14,39.0,M,21,Munster,731,140.0,2459.0,77.0,1457.0
15,103.0,M,23,Leinster,881,182.0,2756.0,91.0,1491.0
16,154.0,M,22,Leinster,897,348.0,2930.0,172.0,1599.0
17,145.0,M,27,Munster,760,484.0,2946.0,151.0,1485.0
18,91.0,M,22,Ulster,820,142.0,2643.0,45.0,1634.0
19,48.0,M,22,Ulster,787,156.0,2629.0,56.0,1375.0
20,180.0,M,26,Leinster,1368,,,,
21,174.0,M,26,Ulster,891,305.0,3380.0,117.0,1810.0
22,109.0,M,33,Ulster,924,217.0,2793.0,85.0,1431.0
23,156.0,M,30,Leinster,1076,221.0,2802.0,117.0,1787.0
24,100.0,M,34,Leinster,831,149.0,2786.0,56.0,1565.0
25,101.0,M,38,Munster,997,224.0,2523.0,61.0,1585.0
26,132.0,M,39,Munster,1012,210.0,2785.0,70.0,1603.0
27,,M,34,Leinster,1054,146.0,2545.0,84.0,
28,13.0,M,31,Munster,597,97.0,2451.0,69.0,1194.0
29,55.0,M,34,Leinster,773,187.0,2488.0,123.0,1470.0
30,21.0,M,38,Leinster,860,166.0,2286.0,77.0,1146.0
31,99.0,M,35,Leinster,832,236.0,2649.0,104.0,1563.0
32,157.0,M,35,Munster,985,314.0,2840.0,77.0,1788.0
33,90.0,M,31,Ulster,847,209.0,2514.0,112.0,1584.0
34,40.0,M,31,Ulster,846,146.0,2375.0,80.0,1418.0
35,32.0,M,32,Ulster,873,122.0,2279.0,55.0,1437.0
36,63.0,M,37,Leinster,806,184.0,2388.0,100.0,1637.0
37,121.0,M,35,Munster,867,167.0,2732.0,52.0,1719.0
38,123.0,M,37,Leinster,1068,178.0,2636.0,83.0,1588.0
39,56.0,M,34,Leinster,694,112.0,2542.0,88.0,1611.0
40,70.0,M,39,Munster,887,175.0,2499.0,79.0,1512.0
41,61.0,M,39,Leinster,1015,211.0,2477.0,44.0,1329.0
42,59.0,M,31,Leinster,922,172.0,2515.0,74.0,1391.0
43,37.0,M,37,Leinster,712,125.0,2473.0,74.0,1466.0
44,89.0,M,35,Munster,721,163.0,2784.0,56.0,1538.0
45,26.0,M,38,Leinster,792,134.0,2444.0,79.0,1213.0
46,28.0,M,31,Leinster,713,132.0,2449.0,80.0,1323.0
47,67.0,M,33,Munster,869,158.0,2564.0,71.0,1473.0
48,2.0,M,32,Munster,616,87.0,2016.0,58.0,1225.0
49,30.0,M,31,Ulster,789,123.0,2385.0,57.0,1381.0
50,23.0,M,34,Ulster,822,105.0,2365.0,81.0,1223.0
51,46.0,M,34,Munster,635,211.0,2538.0,81.0,1479.0
52,149.0,M,36,Connacht,1044,217.0,2890.0,191.0,1523.0
53,62.0,M,39,Leinster,774,168.0,2728.0,57.0,1367.0
54,3.0,M,35,Ulster,621,85.0,1982.0,53.0,1282.0
55,22.0,M,36,Leinster,826,119.0,2213.0,70.0,1363.0
56,165.0,F,21,Munster,853,194.0,3025.0,124.0,2046.0
57,52.0,M,37,Leinster,816,173.0,2456.0,52.0,1511.0
58,175.0,M,38,Munster,909,257.0,3103.0,80.0,2172.0
59,18.0,M,30,Ulster,663,99.0,2239.0,56.0,1430.0
60,138.0,M,36,Munster,926,234.0,2825.0,87.0,1687.0
61,73.0,M,33,Leinster,790,145.0,2331.0,106.0,1804.0
62,130.0,M,37,Leinster,973,211.0,2625.0,59.0,1799.0
63,6.0,M,34,Munster,688,107.0,2197.0,60.0,1224.0
64,135.0,M,30,Connacht,916,303.0,2747.0,87.0,1649.0
65,19.0,M,31,Leinster,725,98.0,2246.0,54.0,1404.0
66,80.0,M,39,Connacht,778,236.0,2598.0,114.0,1490.0
67,12.0,M,35,Leinster,658,104.0,2396.0,60.0,1152.0
68,17.0,M,32,Munster,840,99.0,2199.0,61.0,1285.0
69,41.0,F,25,Leinster,565,101.0,2779.0,66.0,1357.0
70,29.0,M,37,Connacht,769,121.0,2445.0,81.0,1315.0
71,133.0,M,32,Leinster,995,195.0,2556.0,95.0,1854.0
72,15.0,M,39,Leinster,688,90.0,2310.0,55.0,1299.0
73,66.0,M,35,Connacht,812,161.0,2632.0,103.0,1416.0
74,134.0,F,59,Leinster,837,129.0,2887.0,83.0,1762.0
75,27.0,M,41,Connacht,784,108.0,2284.0,79.0,1433.0
76,171.0,M,46,Leinster,970,282.0,3019.0,119.0,2034.0
77,47.0,M,46,Munster,944,175.0,2497.0,72.0,1313.0
78,117.0,M,47,Ulster,846,162.0,2683.0,62.0,1752.0
79,172.0,M,44,Munster,1225,186.0,2900.0,92.0,2034.0
80,104.0,M,40,Connacht,834,152.0,2905.0,61.0,1454.0
81,92.0,M,46,Leinster,770,151.0,2624.0,91.0,1653.0
82,45.0,M,44,Leinster,841,149.0,2338.0,67.0,1529.0
83,75.0,M,47,Munster,1116,113.0,2499.0,96.0,1355.0
84,84.0,M,44,Connacht,854,145.0,2567.0,93.0,1577.0
85,96.0,M,43,Leinster,799,113.0,2631.0,74.0,1752.0
86,31.0,M,46,Leinster,813,215.0,2322.0,113.0,1286.0
87,160.0,M,48,Leinster,1334,197.0,2790.0,113.0,1674.0
88,8.0,M,48,Munster,877,81.0,2114.0,59.0,1192.0
89,9.0,M,45,Munster,700,103.0,2230.0,45.0,1248.0
90,105.0,M,41,Leinster,825,226.0,2486.0,121.0,1757.0
91,102.0,M,40,Ulster,1321,126.0,2454.0,81.0,1411.0
92,4.0,M,49,Leinster,621,89.0,2005.0,53.0,1474.0
93,173.0,M,45,Ulster,1061,177.0,2691.0,120.0,2391.0
94,108.0,M,40,Ulster,806,220.0,2589.0,125.0,1705.0
95,137.0,M,48,Munster,858,136.0,2579.0,82.0,2092.0
96,116.0,M,45,Leinster,682,157.0,2436.0,117.0,2097.0
97,147.0,M,48,Munster,965,266.0,2833.0,102.0,1675.0
98,57.0,M,40,Connacht,756,159.0,2566.0,85.0,1497.0
99,136.0,M,43,Leinster,846,200.0,2847.0,115.0,1736.0
100,33.0,M,43,Connacht,836,161.0,2365.0,89.0,1335.0
101,179.0,M,43,Ulster,1270,208.0,3143.0,122.0,2067.0
102,43.0,M,42,Leinster,729,148.0,2407.0,78.0,1560.0
103,114.0,M,43,Leinster,970,138.0,2533.0,89.0,1732.0
